"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCasesPer1M,Deaths/1M pop,TotalTests,TestsPer1M pop,Population,Continent
USA,109199383,5385,1181273,26,107094359,"27,424","9,23,751","1,385",326158,3528,1186431560,3543647,334805269,North America
India,45001268,null,533293,null,0,N/A,N/A,N/A,31992,379,930797975,661721,1406631776,Asia
France,40138560,null,167642,null,39970918,,0,869,612013,2556,271490188,4139547,65584518,Europe
Germany,38553102,null,176793,null,38240600,,"1,35,709",N/A,459602,2108,122332384,1458359,83883596,Europe
Brazil,37949944,null,706808,null,36249161,,"9,93,975",N/A,176222,3282,63776166,296146,215353593,South America
S. Korea,34571873,null,35934,null,34535939,,0,231,673523,700,15804065,307892,51329899,Asia
Japan,33803572,null,74694,null,0,N/A,N/A,83,269169,595,100414883,799578,125584838,Asia
Italy,26230177,null,192406,null,25874442,,"1,63,329",118,435263,3193,275228417,4567139,60262770,Europe
UK,24789488,null,230669,null,24535534,"2,502","23,285",N/A,361901,3368,522526476,7628357,68497907,Europe
Russia,23124717,null,400256,null,22550793,,"1,73,668",N/A,158599,2745,273400000,1875095,145805947,Europe
Turkey,17232066,null,102174,null,0,N/A,N/A,,201399,1194,162743369,1902052,85561976,Asia
Spain,13914811,null,121760,null,13762417,,"30,634",231,297840,2606,471036328,10082298,46719142,Europe
Australia,11793995,null,22885,null,11765075,,"6,035",21,452418,878,81916639,3142326,26068792,Australia/Oceania
Vietnam,11624114,null,43206,null,10640971,,"9,39,937",,117470,437,85826548,867342,98953541,Asia
Taiwan,10241523,null,19005,null,10222518,,0,,428720,796,30742304,1286903,23888595,Asia
Argentina,10080046,null,130685,null,9947549,,"1,812",363,219083,2840,35716069,776264,46010234,South America
Netherlands,8619835,null,22992,null,8595823,,"1,020",53,500820,1336,25984435,1509718,17211447,Europe
Mexico,7649199,null,334472,null,6899865,,"4,14,862",N/A,58141,2542,20013810,152124,131562772,North America
Iran,7619981,null,146480,null,7377233,,"96,268",18,88581,1703,57320267,666338,86022837,Asia
Indonesia,6813719,null,161920,null,6646937,,"4,862",N/A,24410,580,114158919,408975,279134505,Asia
Poland,6534911,874,119688,2,5335940,,"10,79,283",53,173157,3171,38889035,1030452,37739785,Europe
Colombia,6384009,null,143067,null,6203441,,"37,501",342,123931,2777,36951507,717327,51512762,South America
Greece,6101379,null,37089,null,6064290,,0,115,591412,3595,102228365,9909078,10316637,Europe
Austria,6081287,null,22542,null,6054934,,"3,811",14,670727,2486,211273524,23302116,9066710,Europe
Portugal,5631281,null,27686,null,5599676,398,"3,919",61,555322,2730,46139518,4549993,10140570,Europe
Ukraine,5557995,null,112418,null,5445577,,0,,128681,2603,32603805,754855,43192122,Europe
Chile,5302420,null,64497,null,5237487,,436,30,275448,3350,50197029,2607611,19250195,South America
Malaysia,5129800,null,37181,null,5080973,,"11,646",4,154600,1121,68580916,2066869,33181072,Asia
Israel,4840714,null,12697,null,4798473,,"29,544",21,519056,1361,41373364,4436346,9326000,Asia
Belgium,4825553,null,34376,null,4782820,,"8,357",43,413562,2946,37018657,3172590,11668278,Europe
Canada,4777664,null,54734,null,4684204,,"38,726",99,124456,1426,66487884,1731978,38388419,North America
DPRK,4772813,null,74,null,4772739,,0,,183636,3,null,null,25990679,Asia
Thailand,4758125,null,34488,null,4692636,,"31,001",N/A,67897,492,17270775,246450,70078203,Asia
Czechia,4668164,993,42929,3,4617827,123,"7,408",28,434782,3998,57373332,5343624,10736784,Europe
Peru,4519976,null,222161,null,4297815,,0,4,134187,6595,39010194,1158115,33684208,South America
Switzerland,4420514,null,14452,null,4399989,"1,001","6,073",39,503841,1647,23833472,2716487,8773637,Europe
Philippines,4120028,null,66736,null,4050476,,"2,816",162,36620,593,35928299,319337,112508994,Asia
South Africa,4076463,null,102595,null,3912506,,"61,362",192,67095,1689,26795090,441027,60756135,Africa
Romania,3497226,null,68525,null,3417267,,"11,434",87,183761,3601,28246350,1484202,19031335,Europe
Denmark,3183756,null,8814,null,3174942,,0,4,545636,1511,129333107,22165247,5834950,Europe
Hong Kong,2923383,null,14310,null,2905716,,"3,357",28,384438,1882,76127725,10011143,7604299,Asia
Sweden,2723397,null,25141,null,2693396,41,"4,860",1,266504,2460,19500873,1908301,10218971,Europe
Singapore,2651993,null,1900,null,2149583,,"5,00,510",3,446197,320,24756666,4165302,5943546,Asia
Serbia,2572340,null,18057,null,2545937,,"8,346",,297277,2087,13167633,1521739,8653016,Europe
New Zealand,2485937,null,4958,null,2478402,,"2,577",,507520,1012,7768604,1586011,4898203,Australia/Oceania
Iraq,2465545,null,25375,null,2439497,,673,21,58474,602,19544451,463523,42164965,Asia
Hungary,2207993,null,48881,null,2152155,,"6,957",2,229849,5088,11394556,1186160,9606259,Europe
Bangladesh,2045892,null,29477,null,1998448,,"17,967",N/A,12186,176,15254399,90862,167885689,Asia
Slovakia,1868301,null,21167,null,1846766,,368,11,342168,3877,7443081,1363153,5460193,Europe
Georgia,1855289,null,17132,null,1776548,,"61,609",,467476,4317,16920079,4263340,3968738,Asia
Jordan,1746997,null,14122,null,1731007,,"1,868",59,169597,1371,17201885,1669945,10300869,Asia
Ireland,1723615,null,9322,null,1711830,,"2,463",19,343336,1857,13083449,2606161,5020199,Europe
Pakistan,1581926,null,30664,null,1538689,,"12,573",,6893,134,30589153,133292,229488994,Asia
Finland,1490937,null,10286,null,1476575,70,"4,076",21,268397,1852,12108977,2179850,5554960,Europe
Norway,1489459,null,5732,null,1483727,,0,20,270252,1040,11002430,1996315,5511370,Europe
Kazakhstan,1411831,null,13848,null,1383020,,"14,963",24,73514,721,11575012,602707,19205043,Asia
Slovenia,1346977,31,7100,null,1339060,53,817,8,648198,3417,2847701,1370382,2078034,Europe
Lithuania,1339887,532,9735,null,1323309,281,"6,843",1,503394,3657,10522423,3953260,2661708,Europe
Bulgaria,1323939,320,38556,1,1280072,476,"5,311",34,193428,5633,11430761,1670041,6844597,Europe
Guatemala,1278762,52,20264,null,1258308,36,190,5,68810,1090,7593848,408622,18584039,North America
Morocco,1277082,null,16297,null,1256151,,"4,634",3,33810,431,13001033,344191,37772756,Africa
Croatia,1276497,null,18438,null,1257638,,421,,314463,4542,5649761,1391812,4059286,Europe
Lebanon,1243838,null,10952,null,1087587,,"1,45,299",74,186068,1638,4795578,717380,6684849,Asia
Costa Rica,1238883,null,9428,null,860711,,"3,68,744",52,239058,1819,4659757,899158,5182354,North America
Bolivia,1209431,null,22404,null,1177145,,"9,882",220,100848,1868,2710261,225993,11992656,South America
Tunisia,1153361,null,29423,null,0,N/A,N/A,44,95741,2442,5013383,416164,12046656,Africa
Cuba,1115146,null,8530,null,1106553,,63,,98636,754,14345940,1268918,11305652,North America
Ecuador,1069139,null,36043,null,1033096,,0,759,59025,1990,3082403,170173,18113361,South America
UAE,1067030,null,2349,null,1054525,,"10,156",,105837,233,200732262,19910389,10081785,Asia
Panama,1049089,null,8666,null,1040268,,155,16,235911,1949,7811039,1756488,4446964,North America
Uruguay,1038774,null,7634,null,1030944,,196,18,297131,2184,6114822,1749083,3496016,South America
Mongolia,1011170,null,2179,null,1008991,,0,192,299333,645,4030048,1193000,3378078,Asia
Nepal,1003450,null,12031,null,991322,,97,,33199,398,6047766,200088,30225582,Asia
Belarus,994037,null,7118,null,985592,,"1,327",,105381,755,13646641,1446722,9432800,Europe
Latvia,979242,null,6412,null,971406,,"1,424",,529653,3468,7883831,4264211,1848837,Europe
Saudi Arabia,841469,null,9646,null,827923,,"3,900",66,23475,269,45481735,1268848,35844909,Asia
Azerbaijan,834050,null,10356,null,823588,,106,,80974,1005,7703250,747873,10300205,Asia
Paraguay,815869,null,20028,null,0,N/A,N/A,7,111673,2741,2657506,363751,7305843,South America
Bahrain,729301,20,1574,null,727657,19,70,4,408805,882,10941565,6133223,1783983,Asia
Sri Lanka,672597,null,16882,null,655708,,7,,31174,782,6486117,300619,21575842,Asia
Dominican Republic,670627,null,4384,null,666104,,139,4,60655,397,3740928,338350,11056370,North America
Kuwait,666432,null,2570,null,660237,,"3,625",,152142,587,8455743,1930391,4380326,Asia
Cyprus,660854,null,1364,null,659490,,0,60,540184,1115,9640118,7879860,1223387,Asia
Myanmar,641344,2,19495,null,619922,,"1,927",,11613,353,11408083,206567,55227143,Asia
Moldova,625712,null,12135,null,504142,,"1,09,435",49,155915,3024,3216305,801437,4013171,Europe
Palestine,621008,null,5404,null,615445,,159,17,116173,1011,3078533,575907,5345541,Asia
Estonia,620716,null,3001,null,524990,,"92,725",,469560,2270,3748182,2835429,1321910,Europe
Venezuela,552695,null,5856,null,546537,,302,31,18885,200,3359014,114771,29266991,South America
Egypt,516023,null,24613,null,442182,,"49,228",122,4861,232,3693367,34792,106156692,Africa
Qatar,514524,null,690,null,513687,,147,16,172664,232,4065369,1364257,2979915,Asia
Libya,507274,null,6437,null,500835,,2,,72048,914,2483848,352782,7040745,Africa
China,503302,null,5272,null,379053,,"1,18,977","7,557",347,4,160000000,110461,1448471400,Asia
Ethiopia,501060,null,7574,null,488171,,"5,315",,4147,63,5565340,46066,120812698,Africa
Réunion,486588,null,921,null,418572,,"67,095",10,535854,1014,1603660,1766027,908061,Africa
